[backend] using ollama
[ollama] (1/839) APR012025_01B5203.txt
[ollama] (2/839) APR012025_02B5203.txt
[ollama] (3/839) APR012025_03B5203.txt
[ollama] (4/839) APR012025_04B5203.txt
[ollama] (5/839) APR012025_05B5203.txt
[ollama] (6/839) APR012025_06B5203.txt
[ollama] (7/839) APR022025_01B5203.txt
[ollama] (8/839) APR022025_02B5203.txt
[ollama] (9/839) APR022025_03B5203.txt
[ollama] (10/839) APR022025_04B5203.txt
[ollama] (11/839) APR022025_05B5203.txt
[ollama] (12/839) APR022025_06B5203.txt
[warn] APR022025_06B5203.txt: attempt 1 failed: Expecting ',' delimiter: line 18 column 6 (char 674)
[ollama] (13/839) APR022025_07B5203.txt
[ollama] (14/839) APR022025_08B5203.txt
[ollama] (15/839) APR022025_09B5203.txt
[ollama] (16/839) APR022025_10B5203.txt
[ollama] (17/839) APR022025_11B5203.txt
[ollama] (18/839) APR032025_01B5203.txt
[ollama] (19/839) APR032025_02B5203.txt
[ollama] (20/839) APR032025_03B5203.txt
[ollama] (21/839) APR042025_01B5203.txt
[ollama] (22/839) APR042025_02B5203.txt
[ollama] (23/839) APR042025_03B5203.txt
[ollama] (24/839) APR042025_04B5203.txt
[ollama] (25/839) APR042025_05B5203.txt
[ollama] (26/839) APR042025_06B5203.txt
[ollama] (27/839) APR042025_07B5203.txt
[ollama] (28/839) APR072025_01B5203.txt
[ollama] (29/839) APR072025_02B5203.txt
[ollama] (30/839) APR072025_03B5203.txt
[ollama] (31/839) APR072025_04B5203.txt
[ollama] (32/839) APR072025_05B5203.txt
[ollama] (33/839) APR072025_06B5203.txt
[ollama] (34/839) APR072025_07B5203.txt
[ollama] (35/839) APR072025_08B5203.txt
[ollama] (36/839) APR082025_01B5203.txt
[ollama] (37/839) APR082025_02B5203.txt
[ollama] (38/839) APR092025_01B5203.txt
[ollama] (39/839) APR092025_02B5203.txt
[ollama] (40/839) APR092025_03B5203.txt
[ollama] (41/839) APR092025_04B5203.txt
[ollama] (42/839) APR102025_01B5203.txt
[ollama] (43/839) APR102025_02B5203.txt
[ollama] (44/839) APR102025_03B5203.txt
[ollama] (45/839) APR102025_04B5203.txt
[ollama] (46/839) APR102025_05B5203.txt
[ollama] (47/839) APR102025_06B5203.txt
[ollama] (48/839) APR102025_07B5203.txt
[ollama] (49/839) APR112025_01B5203.txt
[ollama] (50/839) APR112025_02B5203.txt
[ollama] (51/839) APR122025_01B5203.txt
[ollama] (52/839) APR142025_01B5203.txt
[ollama] (53/839) APR142025_02B5203.txt
[ollama] (54/839) APR152025_01B5203.txt
[ollama] (55/839) APR152025_02B5203.txt
[ollama] (56/839) APR152025_03B5203.txt
[ollama] (57/839) APR152025_04B5203.txt
[ollama] (58/839) APR162025_01B5203.txt
[ollama] (59/839) APR162025_02B5203.txt
[ollama] (60/839) APR162025_03B5203.txt
[ollama] (61/839) APR162025_04B5203.txt
[ollama] (62/839) APR162025_05B5203.txt
[ollama] (63/839) APR172025_01B5203.txt
[ollama] (64/839) APR172025_02B5203.txt
[ollama] (65/839) APR172025_03B5203.txt
[warn] APR172025_03B5203.txt: attempt 1 failed: Expecting ',' delimiter: line 16 column 6 (char 711)
[ollama] (66/839) APR172025_04B5203.txt
[ollama] (67/839) APR172025_05B5203.txt
[ollama] (68/839) APR172025_06B5203.txt
[ollama] (69/839) APR172025_07B5203.txt
[ollama] (70/839) APR182025_01B5203.txt
[ollama] (71/839) APR182025_02B5203.txt
[ollama] (72/839) APR182025_03B5203.txt
[ollama] (73/839) APR182025_04B5203.txt
[ollama] (74/839) APR212025_01B5203.txt
[ollama] (75/839) APR212025_02B5203.txt
[ollama] (76/839) APR212025_03B5203.txt
[ollama] (77/839) APR212025_04B5203.txt
[ollama] (78/839) APR212025_05B5203.txt
[ollama] (79/839) APR212025_06B5203.txt
[ollama] (80/839) APR212025_07B5203.txt
[taxonomy] new denial reason(s) from APR212025_07B5203.txt: PROCERUDINAL_NEW_EVIDENCE_ON_APPEAL
[ollama] (81/839) APR212025_08B5203.txt
[ollama] (82/839) APR212025_09B5203.txt
[ollama] (83/839) APR212025_10B5203.txt
[ollama] (84/839) APR212025_11B5203.txt
[ollama] (85/839) APR222025_01B5203.txt
[ollama] (86/839) APR222025_02B5203.txt
[ollama] (87/839) APR222025_03B5203.txt
[ollama] (88/839) APR222025_04B5203.txt
[ollama] (89/839) APR232025_01B5203.txt
[ollama] (90/839) APR232025_02B5203.txt
[ollama] (91/839) APR232025_03B5203.txt
[ollama] (92/839) APR232025_04B5203.txt
[ollama] (93/839) APR232025_05B5203.txt
[ollama] (94/839) APR232025_06B5203.txt
[ollama] (95/839) APR232025_07B5203.txt
[ollama] (96/839) APR232025_08B5203.txt
[ollama] (97/839) APR232025_09B5203.txt
[ollama] (98/839) APR232025_10B5203.txt
[ollama] (99/839) APR232025_11B5203.txt
[ollama] (100/839) APR232025_12B5203.txt
[ollama] (101/839) APR232025_13B5203.txt
